city,pincode,city_metric_name,ucode,product_name,product_type,city_sales_mrp,city_current_pld_burn,city_pharmeasy_pld_pct,city_metric_source,city_row_reduction_pct,city_projected_pharmeasy_pld_pct,city_projected_pharmeasy_pld_burn,overall_sales_mrp,overall_current_pld_burn,overall_pharmeasy_pld_pct,overall_reduction_pct,overall_opportunity_platform,overall_opportunity_city,overall_negative_delta_pp,overall_projected_saving_at_slider,overall_projected_pharmeasy_pld_pct,overall_projected_pharmeasy_pld_burn,overall_savings_25pct_delta_reduction,overall_savings_50pct_delta_reduction,overall_savings_75pct_delta_reduction,overall_savings_100pct_delta_reduction,tata1mg_mrp,tata1mg_price,tata1mg_pld_pct,tata1mg_city_delta_vs_pharmeasy_pp,tata1mg_city_excess_pp,tata1mg_overall_delta_vs_pharmeasy_pp,tata1mg_overall_excess_pp,tata1mg_city_savings_25pct_delta_reduction,tata1mg_city_savings_50pct_delta_reduction,tata1mg_city_savings_75pct_delta_reduction,tata1mg_city_savings_100pct_delta_reduction,truemeds_mrp,truemeds_price,truemeds_pld_pct,truemeds_city_delta_vs_pharmeasy_pp,truemeds_city_excess_pp,truemeds_overall_delta_vs_pharmeasy_pp,truemeds_overall_excess_pp,truemeds_city_savings_25pct_delta_reduction,truemeds_city_savings_50pct_delta_reduction,truemeds_city_savings_75pct_delta_reduction,truemeds_city_savings_100pct_delta_reduction,city_opportunity_platform,city_opportunity_negative_delta_pp,city_slider_reduction_pct,city_projected_saving_at_slider,city_opportunity_savings_25pct_delta_reduction,city_opportunity_savings_50pct_delta_reduction,city_opportunity_savings_75pct_delta_reduction,city_opportunity_savings_100pct_delta_reduction,city_ai_insight,overall_ai_insight,combined_ai_insight,updated_at
Bangalore,560001,Bengaluru,159115,SHELCAL 500MG STRIP OF 15 TABLETS,OTC Non PL,4333687.38,385307.28,8.89,Source Bengaluru city PLD,50,8.45,366000.70,34782619.10,3088858.52,8.88,50,Tata 1MG,Bangalore,-0.88,153130.48,8.44,2935728.04,76565.24,153130.48,229695.72,306260.96,163.45,150,8,-0.89,0.89,-0.88,0.88,9653.29,19306.58,28959.87,38613.15,163.45,142.20,13,4.11,0,4.12,0,0,0,0,0,Tata 1MG,-0.89,50,19306.58,9653.29,19306.58,28959.87,38613.15,"Bangalore: Tata 1MG has the worst negative city gap at -0.9 pp; city saving Rs 19,306.58; city PE PLD moves 8.9% to 8.4%.","159115: overall opportunity uses Tata 1MG in Bangalore at -0.9 pp; overall saving Rs 1,53,130.48; overall PE PLD moves 8.9% to 8.4%.","Truemeds has the higher PLD (+4.1 pp vs city PE). City savings use Tata 1MG, the worst negative gap at -0.9 pp. Overall opportunity uses Tata 1MG in Bangalore at -0.9 pp.",2026-05-29T19:34:17+05:30
Mumbai,400001,Mumbai,159115,SHELCAL 500MG STRIP OF 15 TABLETS,OTC Non PL,4917175.42,437374.66,8.89,Source Mumbai city PLD,50,8.45,415375.22,34782619.10,3088858.52,8.88,50,Tata 1MG,Bangalore,-0.88,153130.48,8.44,2935728.04,76565.24,153130.48,229695.72,306260.96,163.45,150,8,-0.89,0.89,-0.88,0.88,10999.72,21999.44,32999.16,43998.89,163.45,142.20,13,4.11,0,4.12,0,0,0,0,0,Tata 1MG,-0.89,50,21999.44,10999.72,21999.44,32999.16,43998.89,"Mumbai: Tata 1MG has the worst negative city gap at -0.9 pp; city saving Rs 21,999.44; city PE PLD moves 8.9% to 8.4%.","159115: overall opportunity uses Tata 1MG in Bangalore at -0.9 pp; overall saving Rs 1,53,130.48; overall PE PLD moves 8.9% to 8.4%.","Truemeds has the higher PLD (+4.1 pp vs city PE). City savings use Tata 1MG, the worst negative gap at -0.9 pp. Overall opportunity uses Tata 1MG in Bangalore at -0.9 pp.",2026-05-29T19:34:18+05:30
